DOI,year,donor,donor_smiles,donor_coreferents,fullerene_acceptor,acceptor,acceptor_smiles,acceptor_coreferents,power conversion efficiency,open circuit voltage,short circuit current,fill factor,property_metadata
10.1039/c3ra47512c,2014.1698630137,P3HT,[*]C1C=C(CCCCCC)C([*])S1,"['poly(3-hexylthiophene)', 'P3HT']",0,PFDTBT-OC6,CCCCCCCCC7(CCCCCCCC)c1cc([*])ccc1c6ccc(c5ccc(c3c(OCCCCCC)c(OCCCCCC)c(c2ccc([*])s2)c4nsnc34)s5)cc67,"[""poly[2,7-(9,9'-octyl-fluorene)-alt-5,5-(4',7'-di-2-thienyl-5',6'-bis(hexyloxy)-2',1',3'-benzothiadiazole)]"", 'PFDTBT-OC6']","=""1.80 %""","=""1.36 V""",,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 97, ""entity_end"": 99, ""property_value_start"": 101, ""property_value_end"": 102, ""property_numeric_value"": 1.8, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {""entity_name"": ""V_{OC}"", ""entity_start"": 105, ""entity_end"": 106, ""property_value_start"": 108, ""property_value_end"": 109, ""property_numeric_value"": 1.36, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1016/j.solmat.2014.08.039,2014.07945205479,P3TI,[*]c7ccc6c(=c4c(=O)n(CC(CCCCCC)CCCCCCCC)c5cc(c3cc(CCCCCCCC)c(c2ccc(c1sc([*])cc1CCCCCCCC)s2)s3)ccc45)c(=O)n(CC(CCCCCC)CCCCCCCC)c6c7,['P3TI'],1,PC_{71}BM,,['PC_{71}BM'],"=""4.46 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 194, ""entity_end"": 194, ""property_value_start"": 196, ""property_value_end"": 197, ""property_numeric_value"": 4.46, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1039/c4ra11305e,2014.77534246575,"poly(3-hexylthiophene-2,5-diyl)",[*]C1C=C(CCCCCC)C([*])S1,"['poly(3-hexylthiophene-2,5-diyl)']",1,PCBM,,['PCBM'],"=""2.86 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 191, ""entity_end"": 191, ""property_value_start"": 194, ""property_value_end"": 195, ""property_numeric_value"": 2.86, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1016/j.solmat.2009.07.005,2009.84931506849,PBTDT,CCCCCCCCCCCCc5cc(c4cc(CCCCCCCCCCCC)c(c3cc2sc1cc([*])sc1c2s3)s4)sc5[*],"[""poly(2,6-bis(3-alkylthiophen-2-yl)dithieno-[3,2-b;2',3'-d]thiophene)"", 'PBTDT']",1,PCBM,,[],"=""0.42 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 65, ""entity_end"": 67, ""property_value_start"": 69, ""property_value_end"": 70, ""property_numeric_value"": 0.42, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1016/j.polymer.2015.04.058,2015.48493150685,"poly{4,8-bis(2,3-(dioctyl)thiophen-5-yl)-benzo[1,2-b:4,5-b']difuran-alt-5,8-bis(thiophen-2-yl)-6-fluoro-2,3-bis(3-octyloxyphenyl) quinoxaline}",,"[""poly{4,8-bis(2,3-(dioctyl)thiophen-5-yl)-benzo[1,2-b:4,5-b']difuran-alt-5,8-bis(thiophen-2-yl)-6-fluoro-2,3-bis(3-octyloxyphenyl) quinoxaline}"", 'P1']",1,PC_{71}BM,,['PC_{71}BM'],"=""4.44 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 186, ""entity_end"": 186, ""property_value_start"": 188, ""property_value_end"": 189, ""property_numeric_value"": 4.44, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1016/j.polymer.2009.09.004,2009.76712328767,PTBTV,CCCCCCc4cc(c2ccc(c1cc(CCCCCC)c([*])s1)c3nsnc23)sc4/C=C/[*],"['Poly(thienylene-benzothiadiazole-thienylene-vinylene)', 'PTBTV']",1,PCBM,,['PCBM'],"=""0.51 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 112, ""entity_end"": 114, ""property_value_start"": 119, ""property_value_end"": 120, ""property_numeric_value"": 0.51, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {""entity_name"": ""HOMO"", ""entity_start"": 74, ""entity_end"": 74, ""property_value_start"": 82, ""property_value_end"": 83, ""property_numeric_value"": -4.99, ""property_unit"": ""eV"", ""property_value_descriptor"": """"}, ""lowest unoccupied molecular orbital"": {""entity_name"": ""LUMO energy levels"", ""entity_start"": 76, ""entity_end"": 78, ""property_value_start"": 85, ""property_value_end"": 86, ""property_numeric_value"": -3.49, ""property_unit"": ""eV"", ""property_value_descriptor"": """"}, ""bandgap"": {""entity_name"": ""bandgap"", ""entity_start"": 68, ""entity_end"": 68, ""property_value_start"": 70, ""property_value_end"": 71, ""property_numeric_value"": 1.5, ""property_unit"": ""eV"", ""property_value_descriptor"": """"}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1016/j.synthmet.2015.12.021,2015.1698630137,poly-(3-hexylthiophene),[*]C1C=C(CCCCCC)C([*])S1,"['poly-(3-hexylthiophene)', 'P3HT']",1,PCBM,,"['[6,6]-phenyl-C_{61}-butyric acid methyl ester', 'PCBM']","=""90 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiencies"", ""entity_start"": 94, ""entity_end"": 96, ""property_value_start"": 103, ""property_value_end"": 104, ""property_numeric_value"": 90.0, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1039/c5ta10192a,2016.01643835616,PBDTTT-C-T,CCCCC(CC)Cc7ccc(c5c3cc(c1sc([*])c2cc(C(=O)C(CC)CCCC)sc12)sc3c(c4ccc(CC(CC)CCCC)s4)c6cc([*])sc56)s7,['PBDTTT-C-T'],1,PC_{70}BM,,['PC_{70}BM'],"=""8.81 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""PCE"", ""entity_start"": 214, ""entity_end"": 214, ""property_value_start"": 216, ""property_value_end"": 217, ""property_numeric_value"": 8.81, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1016/j.polymer.2012.10.025,2012.10684931507,PBDTTDFTT,[*]c9ccc(c8nc7sc(c6ccc(c5cc4c(c1cc(CCCCCC)c(CCCCCC)s1)c2sc([*])cc2c(c3cc(CCCCCC)c(CCCCCC)s3)c4s5)o6)nc7s8)o9,['PBDTTDFTT'],1,PC_{61}BM,,['PC_{61}BM'],"=""3.06 %""","=""0.83 V""",,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 102, ""entity_end"": 104, ""property_value_start"": 106, ""property_value_end"": 107, ""property_numeric_value"": 3.06, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {""entity_name"": ""open-circuit voltage"", ""entity_start"": 93, ""entity_end"": 96, ""property_value_start"": 98, ""property_value_end"": 99, ""property_numeric_value"": 0.83, ""property_unit"": ""V"", ""property_value_descriptor"": """"}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
10.1007/s11664-017-5605-7,2017.43287671233,PTB7,[*]c5cc4c(OCC(CC)CCCC)c3sc(c1sc([*])c2c(F)c(C(=O)OCC(CC)CCCC)sc12)cc3c(OCC(CC)CCCC)c4s5,['PTB7'],1,PC_{70}BM,,['PC_{70}BM'],"=""4.7 ± 0.4 %""",,,,"{""power conversion efficiency"": {""entity_name"": ""power conversion efficiency"", ""entity_start"": 105, ""entity_end"": 107, ""property_value_start"": 109, ""property_value_end"": 112, ""property_numeric_value"": 4.7, ""property_unit"": ""%"", ""property_value_descriptor"": """"}, ""open circuit voltage"": {}, ""short circuit current"": {}, ""fill factor"": {}, ""highest occupied molecular orbital"": {}, ""lowest unoccupied molecular orbital"": {}, ""bandgap"": {}, ""hole mobility"": {}, ""electron mobility"": {}, ""external quantum efficiency"": {}}"
